Title,Agency,Description,Who's it for,What it gives,Link,Background Image Link,Scheme Type,search_booster(WL)
Compassion Fund,Compassion Fund Ltd,"Assist students whose families are in crisis, meaning the breadwinner inflicted by illness/met an accident that resulted in a loss of income, and/or death.",Families who have just lost a breadwinner,Financial assistance for families who have lost breadwinner,https://www.cwa.org.sg/get-help/welfare-support,https://chidnast.sirv.com/SchemesSG/compassion.jpg,"Low Income,Loss of Breadwinner","husband passed away, husband died, father passed away, father died, no more breadwinner, sole source of livelihood gone"
Cornerstone Development Initiatives (CDI) Redeemed,Cornerstone Community Services,A transport allowance scheme (for 3 months) aims at helping ex-offenders integrate back into society as they embark on a new job upon release. This scheme is applicable to ex-offenders who have secured employment and application can only be made by their employer.,Ex-offenders,Transport allowance,https://www.cornerstoneservices.org.sg/financial-aid,https://chidnast.sirv.com/SchemesSG/cornerstone.jpg,Transport,"Ex offenders, ex convict, ex-convict, yellow ribbon, transport allowance"
Cornerstone Development Initiatives (CDI) School Allowance,Cornerstone Community Services,A financial assistance scheme developed to give every child an opportunity to complete their foundational education despite their family circumstances. It is offered to Primary and Secondary students from low income families.,"Low income families,Children from low income families",Financial assistance for education,https://www.cornerstoneservices.org.sg/financial-aid,https://chidnast.sirv.com/SchemesSG/cornerstone.jpg,Education,"Bursary, school fee, pocket money, books"
COVID 19 related support,Support Go Where,Key government resource on COVID-19 related assistance.,In need of support from COVID-19,COVID-19 support,https://www.supportgowhere.gov.sg/schemes/?lang=english,https://chidnast.sirv.com/SchemesSG/supportgowhere.jpg,COVID-19,Pandemic
COVID-19 - Family Assistance Fund,Beyond Social Services,Covid 19 Family Assistance Fund Fund will go towards the families whose household income and employment have been affected by the crisis. We disburse it in the form of cash and food vouchers.,Low income,"Financial assistance,COVID-19 support",https://www.beyond.org.sg/faf-faq/,https://chidnast.sirv.com/SchemesSG/beyond.jpg,"Low Income,COVID-19,Food","Need money for daily needs, low income, poor, lost job, retrenched COVID"
CPF Housing Grants for DBSS Flats,"Housing and Development Board (HDB), Central Provident Fund (CPF)","A suite of grants available for the Design, Build and Sell (DBSS) scheme",In need of mortgage assistance,Mortgage assistance,https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/schemes-and-grants/cpf-housing-grants-for-dbss-flats,https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,Housing,"HDB grants, HDB flat, home owner, BTO, mortgage"
CPF Housing Grants for Executive Condominiums (Ecs),"Housing and Development Board (HDB), Central Provident Fund (CPF)",A suite of grants available for Executive Condominiums (ECs).,In need of mortgage assistance,Mortgage assistance,https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/schemes-and-grants/cpf-housing-grants-for-ecs,https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,Housing,"HDB grants, condo, condominium, mortgage"
CPF Housing Grants for HDB Flats,"Housing and Development Board (HDB), Central Provident Fund (CPF)","On top of the subsidised purchase prices for new HDB flats, eligible buyers can also receive further subsidies in the form of CPF Housing Grants of up to $80,000.",In need of mortgage assistance,Mortgage assistance,https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/schemes-and-grants/cpf-housing-grants-for-hdb-flats,https://chidnast.sirv.com/SchemesSG/hdb-cpf.jpg,Housing,"HDB grants, HDB flat, home owner, BTO, mortgage"
Deferred Downpayment Scheme,Housing and Development Board (HDB),"The Deferred Downpayment Scheme (DDS) enables elderly who are right-sizing to defer the payment of downpayment until key collection. This will help to ease the cash flow for elderly flat owners whose funds are tied up in their existing flat, and smoothen the right-sizing process.",In need of mortgage assistance,Mortgage assistance,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/deferred-downpayment-scheme,https://chidnast.sirv.com/SchemesSG/hdb.jpg,Housing,"Downsizing, reverse mortage"
Developmental Disabilities Registry Identity (DDRID) Card,SGEnable,"The DDRID card offers a benefits scheme that provides cardholders with discounted rates for services and access to various facilities. Cardholders can also enjoy discounted rates for products, services and access to facilities offered by participating companies",PWDs,Benefits like discounted rates and access to facilities for PWDs,https://www.sgenable.sg/pages/content.aspx?path=/Schemes/Developmental-Disabilities-Registry+/,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,PWD,"Discounts, disabled, PWD, persons with disabily"
Dialysis Financial Assistance Scheme,Muslim Kidney Action Association,"Dialysis Financial Assistance Scheme (“DFAS”) is a subsidy scheme to provide financial support for qualified MKAC patients, where funds are provided as assistance in meeting the cost of dialysis and related medication.",Kidney patients,Financial assistance for dialysis,https://www.mkac.sg/our-programmes/financial-assistance-scheme/,https://chidnast.sirv.com/SchemesSG/mkac.jpg,"PWD,Transport",Kidney
Disabled Persons Scheme,SGEnable,Waiver of Additional Registration Fee (ARF) and Certificate of Entitlement (COE) for persons with permanent physical disabilities who are medically certified as unable to take public transport (i.e. bus and/or MRT) and who require a vehicle to earn a living.,PWDs,Transport perks for PWDs,https://www.sgenable.sg/pages/content.aspx?path=/schemes/transport/disabled-persons-scheme/,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,Healthcare,"Disabled, need to drive Grab, vehicle expensive, car COE too high, cannot take public transport"
ElderFund,"Ministry of Health (MOH), Central Provident Fund (CPF), Agency for Integrated Care (AIC)","ElderFund is a discretionary assistance scheme launched on 31 January 2020. It is targeted at severely disabled lower-income Singapore Citizens aged 30 and older, who are not able to benefit from CareShield Life, ElderShield, and the Interim Disability Assistance Programme for the Elderly (IDAPE), and have low MediSave balances and inadequate personal savings to meet their long-term care needs. Eligible Singapore Citizens can receive up to $250 cash per month for as long as they remain eligible, and meet the terms and conditions needed for receipt of payment.",Low income elderly,Healthcare assistance,https://www.aic.sg/financial-assistance/elderfund,https://chidnast.sirv.com/SchemesSG/aic.jpg,Healthcare,"Low income, need help with daily activities"
Enable IT Programme,Infocomm Media Development Authority (IMDA),The Enable IT Programme aims to build an inclusive society and enable Persons with Disabilities (PWDs) through adoption of Infocomm and Assistive Technologies (IT/AT) to enhance their abilities and skillsets required for independent living.,PWDs,Assistive technology assistance for PWDs,https://www.imda.gov.sg/programme-listing/enable-it,https://chidnast.sirv.com/SchemesSG/imda.jpg,PWD,"Need tablet, mobile device. Physically disabled."
Enhanced Pilot for Private Intervention Providers,SGEnable,Subsidy scheme that offers more choices of early intervention programmes for children who have been referred for the Early Intervention Programme for Infants and Children (EIPIC). Parents who choose to enroll their children in selected Private Intervention Centres (PIC)s will receive subsidies that will help defray the enrolment costs.,Special needs children,Educational intervention for special needs children,https://www.sgenable.sg/pages/content.aspx?path=/schemes/intervention-programmes/enhanced-pilot-for-private-intervention-providers/,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,"PWD,Childcare","Subsidy for special needs education, special needs intervention, autism, down's syndrome"
Enhanced Screen for Life,Ministry of Health (MOH),"Screen for Life (SFL) is a national screening programme that offers eligible Singapore Citizens and Permanent Residents (PRs) subsidised screenings, recommended based on age and gender.","Elderly,Families",Screening,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/enhanced-screen-for-life,https://chidnast.sirv.com/SchemesSG/MOH.jpg,Healthcare,"Cannot afford health checkup, need early screening to detect diseases, chronic diseases"
Enhancement for Active Seniors (EASE),Housing and Development Board (HDB),"Improvement items installed in your flat through EASE can make it more elderly-friendly, and improve mobility and comfort for elderly residents.",Elderly,Retrofitting of flats to improve mobility for elderly,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/ease,https://chidnast.sirv.com/SchemesSG/hdb.jpg,"Housing,Elderly","Grab bars, non ambulant elderly, non slip floor tiles, retrofitting, safer for old people, fall proofing"
FaithActs Bursary Award,FaithActs,"Provide financial assistance to students from low-income families to purchase educational materials, complement the MOE FAS, and motivate beneficiary of the award.",Children from low income families,Financial assistance for education,https://www.faithacts.org.sg/services/community-care/bursary-awards,https://chidnast.sirv.com/SchemesSG/faithacts.jpg,"Low Income,Education","School fees, students, buy books, bursary for primary scecondary school"
Tuition,FaithActs,Free tuition to youth-at-risk,"Youth-at-risk,Children from low income families","Tuition,Educational programmes for youth-at-risk",https://www.faithacts.org.sg/services/children-and-youth/tuition,https://chidnast.sirv.com/SchemesSG/faithacts.jpg,"Low Income,Education","Free tuition, need tuition, education, no money for school"
Family Development Programme,Methodist Welfare Services (MWS),"Monthly financial assistance to help families cope with the cost of daily living expenses, children’s educational expenses and milk powder supplements. Debt Clearance and Savings Matching Schemes to help families get out of debt","Low income families,In debt","Financial assistance for daily living,Debt assistance",https://mws.sg/centre-location/mws-family-development-programme/,https://chidnast.sirv.com/SchemesSG/mws.jpg,"Low Income,Family","Borrowed from loan shark, unable to return, credit card debt, bankrupt"
Financial and Food Rations assistance (Temporary),Bethel Social Services | Bethel Community Services,To provide temporary aid to individuals and/or families who are residing near Eastern Singapore. Free monthly haircut service on every last Friday of the month and Traditional Chinese Medicine (TCM) Services for the those in the community.,"Low income,Low income families","Financial assistance for daily living,Free TCM,Free haircut",https://www.bethelcs.org.sg/services/bethel-social-services/,https://chidnast.sirv.com/SchemesSG/bethelcs.jpg,"Low Income,Food","Looking for free TCM, money to tide over difficulties, money for daily needs"
Financial Assistance,Ain Society,"Our financial assistance schemes help to alleviate the financial burdens of affected families, to ensure patients’ adherence to medical treatments and to acquire the intended consumables.",Low income families,Financial assistance for daily living,https://www.ainsociety.org.sg/serenity-cancer-care/social-support/financial-assistance/,https://chidnast.sirv.com/SchemesSG/ain.jpg,"Low Income,Family,Healthcare","Need money to tide over difficulties, money for daily needs"
Financial Assistance,Dyslexia Association of Singapore (DAS),"Financial assistance for psychological assessments, literacy and special education for dyslexic children.","Special needs children,Dyslexic children","Financial assistance for education,Educational programmes",https://www.das.org.sg/services/assessments/financial-assistance.html#bursary-for-ses-programmes,https://chidnast.sirv.com/SchemesSG/DAS.jpg,"Education,Special Needs","Special needs children, dyslexia, reading, learning difficulty"
Financial Assistance,365 Cancer Prevention Society (365CPS),"Cancer treatment can place a heavy financial burden on patients and their family members. Besides being a place where one can find emotional support and be educated on how to improve one’s health and immunity, 365CPS also provides aid to low-income cancer patients to help meet their daily needs.",Cancer patients,Financial assistance for cancer treatment,https://365cps.org.sg/portfolio/financial-support/,https://chidnast.sirv.com/SchemesSG/365cps.jpg,"Low Income,Healthcare","See doctor, cancer, oncology"
Financial Assistance,Muslimin Trust Fund Association,Bi-monthly Zakat distribution through monetary and food items disbursements. Fidyah funds are distributed in the form of food packages. Food packages are customized to suit the dietary needs of the chronically ill and elderly recipients.,Low income families,"Financial assistance for daily living,Food",https://www.mtfa.org/,https://chidnast.sirv.com/SchemesSG/mtfa.jpg,"Low Income,Food","Hungry, have not eaten, food"
Financial Assistance,The Breadline Group,"Every month, our volunteers visit each “adopted” family, talking to them and finding out how they fare, providing food provisions and/or cash to supplement whatever public assistance they may be receiving.",Low income families,"Financial assistance for daily living,Food",https://breadlinegroup.org/publications/aid-application-form/,https://chidnast.sirv.com/SchemesSG/breadline.jpg,"Low Income,Food","Need befriending, food, hungry, have not eaten, low income, poor"
Financial Assistance,Bethesda Care Services,"We offer short-term financial assistance to the residents of Hougang, Sengkang and Punggol who are in need of help.",Low income families,Financial assistance for daily living,https://www.bcare.org.sg/our-services/social-service/financial-assistance/,https://chidnast.sirv.com/SchemesSG/bethesda.jpg,Low Income,"Money for daily needs, low income, poor"
Financial Assistance and Food on the Table Program,Sikh Welfare Council,The objective of the Financial Assistance & Food on the Table Program is to provide support to Singaporean families in need for financial or other type of assistance.,Low income families,Food,https://www.siwec.org/our-services/family-support-services/financial-assistance-food-on-the-table,https://chidnast.sirv.com/SchemesSG/siwec.jpg,"Low Income,Food","financial, food ration, hungry, have not eaten for days, no food"
Financial Assistance Measures,Housing and Development Board (HDB),"As a safety net, we have Financial Assistance Measures (FAM) in place for flat owners who face difficulties paying the monthly instalments of their HDB housing loan.","Low income families,In need of mortage support",Mortgage assistance,https://www.hdb.gov.sg/residential/servicing-your-hdb-housing-loan/loan-matters/financial-assistance-measures,https://chidnast.sirv.com/SchemesSG/hdb.jpg,Housing,"Cannot afford mortgage, difficulty paying for flat, cannot afford housing downpayment, retrenched, homeowner"
Financial Assistance Schemes & Food Vouchers,Eurasian Association Singapore,"Provides information and referrals to social welfare agencies and schemes available in Singapore and assists with employment, training and re-training. Also has its own financial assistance and food vouchers, as well as further help to settle one-off payments.",Low income families,"Financial assistance for daily needs,Food vouchers",https://www.eurasians.sg/family-support/,https://chidnast.sirv.com/SchemesSG/EAS.jpg,"Low Income,Food","Need to know where to apply for financial assistance, poor, low income, need money to buy daily needs, food, hungry"
Financial Asssistance,Children's Cancer Foundation,"CCF Financial Assistance (FA) scheme aims to help families who are facing financial hardship when their child is diagnosed with cancer. Families may face hefty medical expenses as well as new expenses arising from caring for their child. CCF helps to ease the financial burden by providing financial counselling and assistance in cash or in-kind to needy families of children with cancer, as well as connecting them to other relevant resources.","Caregivers,Cancer patients",Financial assistance for cancer patients,https://www.ccf.org.sg/programmes-and-services/core-services/financial-assistance/,https://chidnast.sirv.com/SchemesSG/ccf.jpg,"Low Income,Healthcare",take care of child with cancer
Financial Support,En Community Services Society,"Basic assistance and casework management. Food Pack Ration Assistance, Referral Services, Basic Finance Counselling, Food Vouchers, Workshop.","Low income,Need food support","Financial Assistance,Food,Counselling,Referral",https://www.ecss.org.sg/our-services/care-and-counselling/financial-assistance,https://chidnast.sirv.com/SchemesSG/ECSS.jpg,"Low Income,Food","Need money to tide over difficulties, money for daily needs, food, hungry, have not eaten, poor, low income, rations"
Food Assistance,Food From The Heart,"Food from the Heart reaches out to less-privileged individuals and families through a food distribution programe, distributing surplus bread and non-perishable food items. We also bring joy through the distribution of toys and birthday celebrations.","Low income,Need food support",Food,https://www.foodfromtheheart.sg/faq/,https://chidnast.sirv.com/SchemesSG/foodfromtheheart.jpg,"Low Income,Food","Need money to tide over difficulties, money for daily needs, food, hungry, have not eaten, poor, low income, rations"
Food Care Programme,Cornerstone Community Services,Food Care Programme provides food and daily necessities to households with financial difficulties through our befriending volunteers,Need food support,"Food,Befriending",https://www.cornerstoneservices.org.sg/financial-aid,https://chidnast.sirv.com/SchemesSG/cornerstone.jpg,"Low Income,Food","Need money to tide over difficulties, money for daily needs, food, hungry, have not eaten, poor, low income, rations"
Food Relief Programme,Catholic Welfare Services,"CWS provides supermarket vounchers every quarter to the beneficiaries of the programme. Cash grants, also part of the programme, are given out half-yearly. At headquarters, a small stock of dry food items are maintained and given to the needy who approach us for direct assistance.","Low income,Need food support","Food,Financial assistance",https://www.catholicwelfare.org.sg/foodrelief.html,https://chidnast.sirv.com/SchemesSG/cws.jpg,"Low Income,Food","Need money to tide over difficulties, money for daily needs, food, hungry, have not eaten, poor, low income, rations"
Foreign Domestic Worker (FDW) Levy Concession For Persons With Disabilities,Agency for Integrated Care (AIC),Lower monthly foreign domestic worker (FDW) levy of $60 (instead of $300).,Caregivers,Subisdy for FDW employment,https://www.aic.sg/financial-assistance/foreign-domestic-worker-levy-concession,https://chidnast.sirv.com/SchemesSG/aic.jpg,"Family,Elderly,Caregiver","Hire helper for caregiving, take care of elderly need helper, domestic worker, someone to help elderly with household chores, maid"
Fresh Start Housing Scheme,Housing and Development Board (HDB),"The Fresh Start Housing Scheme (Fresh Start) aims to help second-timer (ST)1 families with young children, who are currently living in public rental flats. It assists them in owning a 2-room Flexi flat by integrating financial assistance with personal responsibility and social support.",Low income families,"Financial assistance,Housing assistance",https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/schemes-and-grants/fresh-start-housing-scheme,https://chidnast.sirv.com/SchemesSG/hdb.jpg,Housing,"Need money to tide over difficulties, money for daily needs, family and children, HDB, poor"
Haw Par Para Sports Bursary,Singapore Disability Sports Council (SDSC),"The Haw Par Para Sports Bursary aims to support deserving Persons with Disabilities (PwD) from disadvantaged backgrounds to shine in sports. An estimate of 20 bursaries would be given out each year, ranging between values of $900 and $1,800, to help cope with sport-related expenses that are not supported or subsidised by other funding channels.",PWDs,Financial assistance for education,https://sdsc.org.sg/financial-support-schemes/#1542269670565-a1db8f48-e52a,https://chidnast.sirv.com/SchemesSG/sdsc.jpg,"PWD,Education","Disabled, paralympian, study, scholarship, bursary, education"
Heart Support Fund,Singapore Heart Foundation,Singapore Heart Foundation provides financial assistance to needy heart patients through the Heart Support Fund.,Heart patients,Financial assistance for heart patients,https://www.myheart.org.sg/programmes/cardiac-rehabilitation-and-heart-wellness/heart-support-fund/,https://chidnast.sirv.com/SchemesSG/shf.jpg,"Low Income,Healthcare,Loss of Breadwinner","Heart disease, stroke, coronary patients"
Hematopoietic Progenitor Cells (HPC) Procurement Subsidy Scheme,Bone Marrow Donor Programme (BMDP),Subsidies to offset Hematopoietic Progenitor Cells (HPC) product cost and associated hospitalisation costs.,Leukaemia patients,Financial assistance for leukaemia patients,https://bmdp.org/patient-subsidies,https://chidnast.sirv.com/SchemesSG/BMDP.jpg,Healthcare,"Bone marrow, leukaemia, leukemia"
HIV+ Pregnant Mothers' Fund,Action for AIDS (AFA),"Assistance for HIV positive mothers who cannot afford anti-HIV treatment, in order to prevent transmission of HIV to their baby.",HIV patients,Financial assistance for HIV patients,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-3,https://chidnast.sirv.com/SchemesSG/afa.jpg,"Healthcare,Family","AIDS, HIV, HIV positive, medicine"
Home Access Programme,Infocomm Media Development Authority (IMDA),"Home Access provides eligible Singaporean families with 2 years of subsidised fibre broadband connectivity. Families without full-time student may choose to bundle the broadband, with a tablet or smartphone.",Low Income families,Broadband internet support,https://www.imda.gov.sg/programme-listing/home-access,https://chidnast.sirv.com/SchemesSG/imda.jpg,"Tech,Family","Need money for broadband, children need internet to study, cannot afford internet"
Home Caregiving Grant (HCG),Agency for Integrated Care (AIC),"Monthly grant payment of $200 to defray the costs of caregiving expenses, such as the cost of caregiver support services in the community, or hiring of a Foreign Domestic Worker (FDW).",Caregivers,Financial assistance for caregiving,https://www.aic.sg/financial-assistance/home-caregiving-grant,https://chidnast.sirv.com/SchemesSG/aic.jpg,"Family,Elderly,Caregiver","Hire helper for caregiving, take care of elderly need helper, domestic worker, someone to help elderly with household chores, maid"
